Project,Id,Comment
black,21,https://github.com/psf/black/commit/8e7848c63efe36f09e4651bece8c0efc34a1c3e1
black,19,https://github.com/psf/black/commit/29e97d1d4a7717f1bd0ca35cacf2f2ce6d815b0c
youtube-dl,43,https://github.com/ytdl-org/youtube-dl/commit/d6c7a367e88096bb17e323954002c084477fe908
luigi,21,https://github.com/spotify/luigi/commit/1a6a89d8b510089392bb407d4ec660451deb1f23
scrapy,11,https://github.com/scrapy/scrapy/commit/9de6f1ca757b7f200d15e94840c9d431cf202276
matplotlib,7,https://github.com/matplotlib/matplotlib/commit/ac400b51bb31b91920ee9aae02a0606a67983a8f
black,16,https://github.com/psf/black/commit/42a3fe53319a8c02858c2a96989ed1339f84515a
matplotlib,17,https://github.com/matplotlib/matplotlib/commit/05a5db0fec2eced55076736f0b9520641b279ad6
scrapy,27,https://github.com/scrapy/scrapy/commit/d164398a27736f75286cc435eca69b06ff7c1c06
scrapy,1,https://github.com/scrapy/scrapy/commit/9d9dea0d69709ef0f7aef67ddba1bd7bda25d273
keras,2,https://github.com/keras-team/keras/commit/c24d16af155e20976bdf61e468ba760408e676ff
scrapy,17,https://github.com/scrapy/scrapy/commit/65c7c05060fd2d1fc161d4904243d5e0b31e202b
spacy,4,https://github.com/explosion/spaCy/commit/9fa9d7f2cb52ce6a70c264d4e57c7f190d7686bf
youtube-dl,15,https://github.com/ytdl-org/youtube-dl/commit/c384d537f882efab10a78a56ce6dcb0a30f54b47
thefuck,18,https://github.com/nvbn/thefuck/commit/c3b1ba763708b8faaaf55717c436c4cd4c57a7ea
pandas,127,https://github.com/pandas-dev/pandas/commit/710d82c0d393c9031e469ec0371660d8187b7dc3
fastapi,12,https://github.com/tiangolo/fastapi/commit/d262f6e9296993e528e2327f0a73f7bf5514e7c6
youtube-dl,41,https://github.com/ytdl-org/youtube-dl/commit/026fcc04956f2077a50cd4b4e9b87f45d2bcddea
youtube-dl,20,https://github.com/ytdl-org/youtube-dl/commit/609ff8ca19f1c4c168a81121074b91cc0f0d4c47
keras,31,https://github.com/keras-team/keras/commit/e2a10a5e6e156a45e946c4d08db7133f997c1f9a
pandas,151,https://github.com/pandas-dev/pandas/commit/5a227a410c520ceec2d94369a44e2ab774a40dc3
youtube-dl,1,https://github.com/ytdl-org/youtube-dl/commit/1cc47c667419e0eadc0a6989256ab7b276852adf
ansible,15,https://github.com/ansible/ansible/commit/68de182555b185737353e780882159a3d213908c
pandas,74,https://github.com/pandas-dev/pandas/commit/839e7f1416148caff518a5b75327a2480a2bbbb4
ansible,3,https://github.com/ansible/ansible/commit/9d48884e36fb4fd9551f000b87d264383de74e75
pandas,85,https://github.com/pandas-dev/pandas/commit/29edd119d31a9ee7d4f89e8c1dc8af96f0c19dce
black,10,https://github.com/psf/black/commit/66aa676278948368dff251dffd58c850cb8b889e
keras,17,https://github.com/keras-team/keras/commit/5a6af4bc6d44e9adbc2a21804bfcd18c4ce849ef
pandas,158,https://github.com/pandas-dev/pandas/commit/b1c871ce4b5e76b3cffe1ebd4216d36379872352
pandas,10,https://github.com/pandas-dev/pandas/commit/e1ee2b0679e5999c993a787606d30e75faaba7a2
luigi,4,https://github.com/spotify/luigi/commit/8501e5dbb8d3040453a89bb0d3562526086d51e5
cookiecutter,3,https://github.com/cookiecutter/cookiecutter/commit/7129d474206761a6156925db78eee4b62a0e3944
thefuck,1,https://github.com/nvbn/thefuck/commit/444908ce1c17767ef4aaf9e0b4950497914f7f63
thefuck,14,https://github.com/nvbn/thefuck/commit/db6053b301e2b3f4363401e457b5dc4ad2e8429b
luigi,22,https://github.com/spotify/luigi/commit/2db9768958c9665c2bb78f040054a25534205fc4
matplotlib,16,https://github.com/matplotlib/matplotlib/commit/5d99e151be80bcb0b3b6d081fd3038330f573d94
tornado,8,https://github.com/tornadoweb/tornado/commit/5d4a9ab26372efd255bbb29fde55c41395ed17b1
httpie,5,https://github.com/jakubroztocil/httpie//commit/90af1f742230831792d74d303d1e7ce56c96d4bd
thefuck,22,https://github.com/nvbn/thefuck/commit/e2e8b6fc865452b4cfc1bed70e5b9b49807258ae
pandas,58,https://github.com/pandas-dev/pandas/commit/16684f2affaf901b42a12e50f9c29e7c034ad7ea
cookiecutter,1,https://github.com/cookiecutter/cookiecutter/commit/7f6804c4953a18386809f11faf4d86898570debc
tornado,9,https://github.com/tornadoweb/tornado/commit/86cc31f52992fb9d11f92de6fd5496842fea2265
matplotlib,30,https://github.com/matplotlib/matplotlib/commit/d4de838fe7b38abb02f061540fd93962cc063fc4
pandas,163,https://github.com/pandas-dev/pandas/commit/f669f94a186ea444cc771985a915e90eecf218a9
youtube-dl,11,https://github.com/ytdl-org/youtube-dl/commit/348c6bf1c1a00eec323d6e21ff7b9b12699afe04
scrapy,19,https://github.com/scrapy/scrapy/commit/1f743996ff00a7b728d59b93d0967e1eb50072f0
luigi,8,https://github.com/spotify/luigi/commit/8874b93165953c4f6bbe7b747804654d13290018
scrapy,20,https://github.com/scrapy/scrapy/commit/25c56159b86288311630cc0cf6db9d755aeeff1e
spacy,5,https://github.com/explosion/spaCy/commit/3bd15055ce74b04dcaf3b9abe2adeb01fb595776
black,8,https://github.com/psf/black/commit/6b994fdb8ab70ce4c2eafb8f2f0ff2648f3ff1ef
pandas,34,https://github.com/pandas-dev/pandas/commit/cf9ec7854ecb80709804178e769425f02ddf8c64
black,20,https://github.com/psf/black/commit/06e95b1e9bcd43c4574840f8174ba4b2c5d281bd
youtube-dl,28,https://github.com/ytdl-org/youtube-dl/commit/7aefc49c4013efb5056b2c1237e22c52cb5d3c49
pandas,130,https://github.com/pandas-dev/pandas/commit/8efc717e4652e1e4bfbc4455da1d40eb676eed91
keras,43,https://github.com/keras-team/keras/commit/b17169ca5d6cd1c8aeb237fc2bb0555c9e1b6a02
spacy,2,https://github.com/explosion/spaCy/commit/cfdaf99b8029d6762730c5d5bd2b6f6c173c1241
httpie,3,https://github.com/jakubroztocil/httpie//commit/589887939507ff26d36ec74bd2c045819cfa3d56
scrapy,5,https://github.com/scrapy/scrapy/commit/acd2b8d43b5ebec7ffd364b6f335427041a0b98d
scrapy,6,https://github.com/scrapy/scrapy/commit/25f609e2a3c27ca7d7d98dbfddb2c049735935bb
matplotlib,9,https://github.com/matplotlib/matplotlib/commit/c01f9d3eff9b6239446c1bb2d205eccd69054aeb
httpie,4,https://github.com/jakubroztocil/httpie//commit/040d981f00c3f6830b2d0db3daf3c64c080e96e3
thefuck,2,https://github.com/nvbn/thefuck/commit/78ef9eec88f43d5727986be2237f6e0e250cbbbc
keras,9,https://github.com/keras-team/keras/commit/0505393746d56ddacc34bb1c016dba79429c9ac9
keras,45,https://github.com/keras-team/keras/commit/159bb1aac17a8de0f96997d35703b8f26926a848
fastapi,6,https://github.com/tiangolo/fastapi/commit/874d24181e779ebc6e1c52afb7d6598f863fd6a8
luigi,16,https://github.com/spotify/luigi/commit/96f2b5a97c2cc5f63bea0f422c57f93dcec0ebac
pandas,52,https://github.com/pandas-dev/pandas/commit/7017599821e02ba95282848c12f7d3b5f2ce670a
luigi,19,https://github.com/spotify/luigi/commit/6cffbf438d023441f7f42c2019a51c62eecd9018
pandas,29,https://github.com/pandas-dev/pandas/commit/4334482c348c3adc69683c8332295e22092c1b57
thefuck,29,https://github.com/nvbn/thefuck/commit/88831c424f569e6a55fc98883d3eeecc7d425b18
ansible,1,https://github.com/ansible/ansible/commit/343ffaa18b63c92e182b16c3ad84b8d81ca4df69
thefuck,3,https://github.com/nvbn/thefuck/commit/ce5feaebf7fd5c1190b5e14fbc1e962cc8db5f39
pandas,19,https://github.com/pandas-dev/pandas/commit/c6a1638bcd99df677a8f76f036c0b30027eb243c
pandas,63,https://github.com/pandas-dev/pandas/commit/e1ca66bae38b8026079dfcbe0edad5f278546608
pandas,4,https://github.com/pandas-dev/pandas/commit/2250ddfaff92abaff20a5bcd78315f5d4bd44981
luigi,20,https://github.com/spotify/luigi/commit/c3d685e2b03369aab6f4d86ed1c95169c1c2c217
pandas,61,https://github.com/pandas-dev/pandas/commit/f7e2b74f1bcc1d1cbebbc42481e33f0abb2843dc
pandas,76,https://github.com/pandas-dev/pandas/commit/47922d3b00edfc264f73b1484589734bbd077c11
pandas,106,https://github.com/pandas-dev/pandas/commit/e46026ff4669a30192b91e362ce8cdcbc9693870
pandas,122,https://github.com/pandas-dev/pandas/commit/30059081e946a2020d08d49bf4fa7b771d10089a
scrapy,37,https://github.com/scrapy/scrapy/commit/f701f5b0db10faef08e4ed9a21b98fd72f9cfc9a
fastapi,5,https://github.com/tiangolo/fastapi/commit/75a07f24bf01a31225ee687f3e2b3fc1981b67ab
youtube-dl,26,https://github.com/ytdl-org/youtube-dl/commit/47212f7bcbd59af40f91796562a6b72ba0439ac4
pandas,59,https://github.com/pandas-dev/pandas/commit/8dd9fabd2ad9104e747084437b9ad436d5be087a
pandas,28,https://github.com/pandas-dev/pandas/commit/ef9b9387c88cf12b20dd8656dfedfc236e0f3352
luigi,13,https://github.com/spotify/luigi/commit/a8e64fe7f83d69702166a44c7e8cb9470ff31040
spacy,1,https://github.com/explosion/spaCy/commit/a987e9e45d4084f30964a4cec9914ae6ed25a73c
youtube-dl,10,https://github.com/ytdl-org/youtube-dl/commit/d305dd73a3d6927f0a2c63d08662a183fa173833
scrapy,39,https://github.com/scrapy/scrapy/commit/a1e8a8525d2312842c7e1cca8ba6e4e1a83084b7
pandas,35,https://github.com/pandas-dev/pandas/commit/f10ec595eccaf86a9f52fe9683e1181a51ba675b
youtube-dl,27,https://github.com/ytdl-org/youtube-dl/commit/db2fe38b5508cbd28b89893219d9cccd41406851
keras,27,https://github.com/keras-team/keras/commit/b076e227da6beaf87d6c84eff1a92285e4662acf
luigi,28,https://github.com/spotify/luigi/commit/e2be971226c34a193d7029c51206e488b6a037cd
pandas,117,https://github.com/pandas-dev/pandas/commit/f98d2b6587b74c9a640b062d94911b199d962119
scrapy,18,https://github.com/scrapy/scrapy/commit/cabed6f183cfb2ab778c57be8c75802fec5e54d4
scrapy,35,https://github.com/scrapy/scrapy/commit/c3d3a9491412d2a91b0927a05908593dcd329e4a
keras,38,https://github.com/keras-team/keras/commit/64f80d6077edd5f277a1181df94bf4510ea0517a
scrapy,12,https://github.com/scrapy/scrapy/commit/2c9a38d1f54a12c33d7c9a19e021c840c4a32dee
thefuck,10,https://github.com/nvbn/thefuck/commit/0c84eefa55fc1b4bc4940b41d74568884344e35c
pandas,30,https://github.com/pandas-dev/pandas/commit/d857cd12b3ae11be788ba96015383a5b7464ecc9
fastapi,10,https://github.com/tiangolo/fastapi/commit/38495fffa560fa57a8f0e6437d8e43c36c8e5612
pandas,56,https://github.com/pandas-dev/pandas/commit/dafec63f2e138d0451dae5b37edea2e83f9adc8a
youtube-dl,21,https://github.com/ytdl-org/youtube-dl/commit/4b5de77bdb7765df4797bf068592926285ba709a
luigi,1,https://github.com/spotify/luigi/commit/aec5dc2ed8db53fc282a0bd24aabe59031b6d1ba
pandas,140,https://github.com/pandas-dev/pandas/commit/4375daffeed16531bae3fdaf85324b590d1dcb59
scrapy,29,https://github.com/scrapy/scrapy/commit/8d45b3c4810cb5304ba1193b45697a0df1157326
keras,22,https://github.com/keras-team/keras/commit/ee02d256611b17d11e37b86bd4f618d7f2a37d84
thefuck,9,https://github.com/nvbn/thefuck/commit/feb36ede5c518fdc3b6eddf945b2d8b1e2294d15
black,9,https://github.com/psf/black/commit/d6db1c12a8e14833fe22da377cddc2bd1f43dc14
youtube-dl,12,https://github.com/ytdl-org/youtube-dl/commit/e118a8794ffe5a3a414afd489726f34d753b0b23
scrapy,40,https://github.com/scrapy/scrapy/commit/f1d971a5c0cdfe0f4fe5619146cd6818324fc98e
pandas,21,https://github.com/pandas-dev/pandas/commit/56d0934092b8296c90f940c56fce3b731e0de81b
pandas,25,https://github.com/pandas-dev/pandas/commit/73d614403759831814ef7ab83ef1e4aaa645b33a
pandas,7,https://github.com/pandas-dev/pandas/commit/64336ff8414f8977ff94adb9a5bc000a3a4ef454
fastapi,16,https://github.com/tiangolo/fastapi/commit/9745a5d1ae86a7fefacf79bdde8e5dd2d59fa2f4
keras,25,https://github.com/keras-team/keras/commit/84e168b5fa55933e02e767ff7c86fcc0232aecc6
luigi,12,https://github.com/spotify/luigi/commit/b3e9ad57f8502a390686957b69070105fddcfd49
tornado,11,https://github.com/tornadoweb/tornado/commit/1131c9b50a6a4c0868d0d6fa5e0be077cf8fd1ca
pandas,135,https://github.com/pandas-dev/pandas/commit/f41219179de69fed5c2a4b7df821394af1aa6559
pandas,166,https://github.com/pandas-dev/pandas/commit/d44fb07063e9a8bd8a209ddce35b40d8a56c8d02
black,2,https://github.com/psf/black/commit/892eddacd215d685e136686b7f629ade70adca83
fastapi,15,https://github.com/tiangolo/fastapi/commit/6d77e2ac5f2cadc63424f2d85d8d8cded2975922
luigi,24,https://github.com/spotify/luigi/commit/8a4f73296f237fcf8182c342e62c2cb201c717df
youtube-dl,13,https://github.com/ytdl-org/youtube-dl/commit/fad4ceb53404227f471af2f3544c4c14a5df4acb
youtube-dl,17,https://github.com/ytdl-org/youtube-dl/commit/5b232f46dcbdc805507c02edd4fd598f31d544d5
scrapy,2,https://github.com/scrapy/scrapy/commit/439a3e59b8e858441f8d97dbc32f398db392330d
tornado,14,https://github.com/tornadoweb/tornado/commit/1d02ed606f1c52636462633d009bdcbaac644331
scrapy,15,https://github.com/scrapy/scrapy/commit/1aec5200bc81493623f2a4e077b4e80e104e47d5
luigi,30,https://github.com/spotify/luigi/commit/f1e3fb48fe9877e511a2d079636fd75eaaba4573
pandas,155,https://github.com/pandas-dev/pandas/commit/0bde7cedf46209a9fd4fa8c7f9fbce8b49aa78cd
pandas,69,https://github.com/pandas-dev/pandas/commit/948f95756c79543bb089a94a85e73011a3730b2d
keras,4,https://github.com/keras-team/keras/commit/4185cbb50bfcae9cc30b0fc7b67e81d67a50a8ac
pandas,86,https://github.com/pandas-dev/pandas/commit/f792d8c50ee456aa8aa2ae406d8e6b8843f45614
